policy,day,km_total,km_per_tonne,overflow_events,overflow_site_days,mean_fill_at_pickup,max_interval_violations,truck_hours,fuel_liters,co2_kg,cost_kzt,sites_served,tonnes_collected,distance_source,valid_plan
fixed,24,108.00040008163452,6.866217371284395,6,24.0,48.928390973362475,0,12.706805578337775,37.80014002857208,101.30437527657318,11151.041308428763,163,15.729242789968934,road_cache,True
fixed,25,157.427600440979,6.53954428071282,12,48.0,49.14105725031584,0,17.273000007470447,55.09966015434265,147.66708921363832,16254.399745531082,214,24.073176001771664,road_cache,True
fixed,26,90.71100080108643,7.6583514929524545,9,36.0,39.202160810685825,0,11.860416678852506,31.748850280380246,85.08691875141906,9365.910832712172,161,11.844716305403663,road_cache,True
fixed,27,127.24190087890625,7.335319375962893,10,40.0,38.03679350455331,0,15.570055576033063,44.53466530761718,119.35290302441406,13137.72626574707,203,17.346470461240614,road_cache,True
fixed,28,120.66190114974975,7.201315929314275,10,40.0,47.82323203611584,0,13.636166701316833,42.23166540241241,113.18086327846527,12458.341293711661,174,16.755535006952464,road_cache,True
fixed,29,154.8853015098572,7.562596992906508,4,16.0,45.06690642306971,0,16.55377780477206,54.209855528450014,145.28241281624605,15991.907380892753,201,20.48043835406475,road_cache,True
fixed,30,109.06220127105713,7.135746691585911,8,32.0,48.783487275591426,0,12.740638898611069,38.17177044486999,102.30034479225158,11260.672281236648,163,15.283922760270823,road_cache,True
fixed_naive,1,818.3025031051636,17.598797869318652,68,272.0,83.0727450241821,0,35.592527811527255,286.40587608680727,767.5677479126435,84489.73344560814,214,46.497636326159174,road_cache,True
fixed_naive,2,600.6396042327881,37.504555612387854,9,36.0,51.52610449308633,0,24.5335000483195,210.2238614814758,563.3999487703552,62016.03913703536,161,16.01511054924739,road_cache,True
fixed_naive,3,740.4490039825439,36.40040961259182,6,24.0,44.79927729399435,0,31.417888837920295,259.15715139389033,694.5411657356261,76451.35966119765,203,20.341776696007397,road_cache,True
fixed_naive,4,624.0240035629272,33.392312128070515,16,64.0,52.793472334907634,0,26.25341671281391,218.4084012470245,585.3345153420257,64430.47836787223,174,18.687654846109176,road_cache,True
fixed_naive,5,689.8303026580811,39.05604765899724,12,48.0,38.37295050888391,0,29.092916648122998,241.44060593032836,647.06082389328,71224.97874944686,201,17.662573250654223,road_cache,True
fixed_naive,6,596.2223031921387,52.25900085685084,9,36.0,38.44186557195632,0,24.556777813169692,208.67780611724854,559.2565203942261,61559.95280458832,163,11.40898779954339,road_cache,True
fixed_naive,7,733.6449037399292,33.277858655113306,5,20.0,44.56484903216481,0,31.973388930691613,256.7757163089752,688.1589197080535,75748.83631114768,214,22.046037016483364,road_cache,True
fixed_naive,8,600.6396042327881,39.57043856301431,6,24.0,47.59439417269561,0,24.5335000483195,210.2238614814758,563.3999487703552,62016.03913703536,161,15.178997909671738,road_cache,True
fixed_naive,9,753.6167033233643,36.74630497818638,5,20.0,44.866882983480224,0,31.67869440449609,263.76584616317746,706.8924677173156,77810.92461813735,203,20.508638998417172,road_cache,True
fixed_naive,10,612.9752037582398,37.240254422052445,11,44.0,47.041459306498176,0,25.653527830706704,214.54132131538393,574.970741125229,63289.68978803826,174,16.460016540468537,road_cache,True
fixed_naive,11,730.1047029876709,31.858260636219047,12,48.0,50.67802458652031,0,31.07886110358768,255.5366460456848,684.8382114024353,75383.31058347701,201,22.917280743118436,road_cache,True
fixed_naive,12,596.2223031921387,51.20005323842752,8,32.0,39.19108439988415,0,24.556777813169692,208.67780611724854,559.2565203942261,61559.95280458832,163,11.644954750645688,road_cache,True
fixed_naive,13,723.9152033615112,38.44722298344603,11,44.0,37.67723237006475,0,31.398305592272017,253.3703211765289,679.0324607530976,74744.24474707602,214,18.828803413791487,road_cache,True
fixed_naive,14,600.6396042327881,38.819917091699104,8,32.0,48.89478167998975,0,24.5335000483195,210.2238614814758,563.3999487703552,62016.03913703536,161,15.472459737973614,road_cache,True
fixed_naive,15,753.5170029144288,36.63508713366172,5,20.0,45.14625988909838,0,31.658166630533007,263.73095102005004,706.7989487337342,77800.63055091476,203,20.568178264876256,road_cache,True
fixed_naive,16,612.9752037582398,37.38934914917605,7,28.0,46.60953888645345,0,25.653527830706704,214.54132131538393,574.970741125229,63289.68978803826,174,16.394380156567877,road_cache,True
fixed_naive,17,739.4774033660889,35.84619973397931,9,36.0,45.067960168426694,0,31.247638878822325,258.8170911781311,693.6298043573913,76351.04189754867,201,20.6291715399087,road_cache,True
fixed_naive,18,612.9197035827636,35.33472328335725,15,60.0,54.4471029357677,0,25.27163894123501,214.52189625396727,574.9186819606323,63283.95939492035,163,17.346101699102608,road_cache,True
fixed_naive,19,723.9213029708862,38.2951403438951,11,44.0,37.97755838166107,0,31.396277817885082,253.37245603981017,679.0381821866913,74744.874531744,214,18.903738084518906,road_cache,True
fixed_naive,20,600.6396042327881,52.635227788213825,7,28.0,37.70225141658521,0,24.5335000483195,210.2238614814758,563.3999487703552,62016.03913703536,161,11.411361353836192,road_cache,True
fixed_naive,21,753.5170029144288,36.50490109284165,9,36.0,46.00903949071297,0,31.658166630533007,263.73095102005004,706.7989487337342,77800.63055091476,203,20.641529777002685,road_cache,True
fixed_naive,22,612.9752037582398,36.87358163448048,10,40.0,47.27805123032045,0,25.653527830706704,214.54132131538393,574.970741125229,63289.68978803826,174,16.62369578942792,road_cache,True
fixed_naive,23,739.007203414917,36.0915010685678,6,24.0,44.85143589801811,0,31.24113888051775,258.6525211952209,693.1887568031921,76302.49375259016,201,20.47593426527002,road_cache,True
fixed_naive,24,596.2223031921387,37.90534046383782,6,24.0,48.928390973362475,0,24.556777813169692,208.67780611724854,559.2565203942261,61559.95280458832,163,15.729242789968934,road_cache,True
fixed_naive,25,736.1423022994995,30.579359459895244,12,48.0,49.14105725031584,0,32.44272226148181,257.64980580482484,690.5014795569306,76006.69271242333,214,24.073176001771664,road_cache,True
fixed_naive,26,600.6396042327881,50.709496854624625,9,36.0,39.202160810685825,0,24.5335000483195,210.2238614814758,563.3999487703552,62016.03913703536,161,11.844716305403663,road_cache,True
fixed_naive,27,698.9373029632568,40.292767599321124,10,40.0,38.03679350455331,0,29.43241663138072,244.62805603713986,655.6031901795349,72165.27653095625,203,17.346470461240614,road_cache,True
fixed_naive,28,612.9752037582398,36.58344561984411,10,40.0,47.82323203611584,0,25.653527830706704,214.54132131538393,574.970741125229,63289.68978803826,174,16.755535006952464,road_cache,True
fixed_naive,29,737.8606021575928,36.02757858017964,4,16.0,45.06690642306971,0,31.22661108493805,258.25121075515744,692.113244823822,76184.10717277144,201,20.48043835406475,road_cache,True
fixed_naive,30,596.2223031921387,39.00976945146339,8,32.0,48.783487275591426,0,24.556777813169692,208.67780611724854,559.2565203942261,61559.95280458832,163,15.283922760270823,road_cache,True
predictive,1,210.81990077972412,5.440251280410293,68,272.0,92.49188919920948,0,17.653805563847225,73.78696527290344,197.74906693138124,21767.154755506515,179,38.75186823426004,road_cache,True
predictive,2,122.60460149383545,8.794715859709685,2,8.0,71.10078662125603,0,9.982083335717519,42.9116105228424,115.00311620121765,12658.92510423851,96,13.940712065015214,road_cache,True
predictive,3,100.38750033950805,6.133470689826079,7,28.0,72.7194590080452,0,10.306416687700484,35.13562511882782,94.16347531845855,10365.009410054206,121,16.36716068538915,road_cache,True
predictive,4,146.30179997253418,5.703707155535407,11,44.0,66.41061541931079,0,13.85497220661905,51.20562999038696,137.23108837423706,15105.660847164154,155,25.650300056262413,road_cache,True
predictive,5,78.28669949340821,6.073248210997481,7,28.0,74.02869319155582,0,7.571777781513002,27.400344822692873,73.4329241248169,8083.101722694398,85,12.890416589864728,road_cache,True
predictive,6,93.49290085983276,7.205164874079453,3,12.0,69.60435932565909,0,9.1284722313616,32.72251530094147,87.69634100652314,9653.142013777733,101,12.975816999854233,road_cache,True
predictive,7,146.02120134735108,5.797452470177124,1,4.0,62.5563245934299,0,14.343527794943915,51.10742047157287,136.9678868638153,15076.689039113997,164,25.18713212372224,road_cache,True
predictive,8,85.17310040283203,6.456479442914966,2,8.0,69.51434887283986,0,8.623750000529819,29.81058514099121,79.89236817785645,8794.122616592407,102,13.191879747452298,road_cache,True
predictive,9,100.12190091323852,6.456955347460278,4,16.0,71.21944064954455,0,10.092777776055867,35.04266531963348,93.91434305661772,10337.586269291876,117,15.506054405753261,road_cache,True
predictive,10,148.59220111846923,5.862099871777128,5,20.0,61.676940608971925,0,14.43794443209966,52.00727039146423,139.37948464912415,15342.144765481948,165,25.347947726694507,road_cache,True
predictive,11,100.71149983215332,6.224429752385374,7,28.0,76.12620358206611,0,9.781499993138842,35.24902494125366,94.4673868425598,10398.462357669829,110,16.1800363790045,road_cache,True
predictive,12,72.71659985351563,7.005205761426704,4,16.0,71.7643320247188,0,7.050388889312744,25.45080994873047,68.20817066259767,7507.988934875489,78,10.380366020641473,road_cache,True
predictive,13,143.93149976348877,5.664888848826986,4,16.0,64.56265332347108,0,13.682333329386182,50.376024917221066,135.00774677815247,14860.927350580214,153,25.407647635185693,road_cache,True
predictive,14,105.91669999313355,7.016386993588794,3,12.0,71.06107458555121,0,10.16016665564643,37.07084499759674,99.34986459355926,10935.899274291038,115,15.09561831323082,road_cache,True
predictive,15,85.08560040664673,7.146805246620772,4,16.0,67.4621744806058,0,8.57958334883054,29.779960142326356,79.81029318143464,8785.088241986276,101,11.9054035293431,road_cache,True
predictive,16,148.7801000404358,5.306990058688299,5,20.0,65.83806231978906,0,14.650583328008652,52.073035014152524,139.55573383792878,15361.545329174995,169,28.03474255559638,road_cache,True
predictive,17,110.02120106124877,7.737799058260458,7,28.0,68.20271914243105,0,10.013277785115772,38.50742037143707,103.19988659545136,11359.689009573936,110,14.218668672171844,road_cache,True
predictive,18,98.19629950332641,6.631669304380199,10,40.0,75.62619381485332,0,9.596638925737805,34.36870482616424,92.10812893412017,10138.767923718451,109,14.807176744845831,road_cache,True
predictive,19,125.63440058135987,5.092172683803351,5,20.0,64.46657114254383,0,12.131500016450882,43.97204020347595,117.84506774531555,12971.751860025404,137,24.672062080880444,road_cache,True
predictive,20,82.02279949951172,7.333817411182832,1,4.0,69.15485167601327,0,8.121583327717252,28.7079798248291,76.93738593054199,8468.854048324583,93,11.184188929279971,road_cache,True
predictive,21,100.14370007705689,6.353296666749872,5,20.0,72.16794953664997,0,10.022694455915028,35.05029502696991,93.93479067227938,10339.837032956124,116,15.762478179424756,road_cache,True
predictive,22,146.1420002861023,6.214175758100357,8,32.0,62.17345180995691,0,13.904333336220848,51.1497001001358,137.08119626836395,15089.161529540062,156,23.51751961563076,road_cache,True
predictive,23,101.04039945220947,6.122341392205796,6,24.0,71.71810925863441,0,10.003138881259494,35.364139808273315,94.77589468617249,10432.421243440627,115,16.503555254341343,road_cache,True
predictive,24,106.56110109329224,7.786028285560537,4,16.0,67.91059154148499,0,10.102861129045486,37.29638538265228,99.95431282550813,11002.433687882423,113,13.686194961674303,road_cache,True
predictive,25,152.26400079345703,5.580010785067574,8,32.0,67.95363408158777,0,14.239861104355919,53.29240027770996,142.8236327442627,15721.258081924438,159,27.28740259802439,road_cache,True
predictive,26,94.11060096359253,7.436032013479155,6,24.0,72.9766736268294,0,8.234444473716948,32.93871033725738,88.2757437038498,9716.919549490927,89,12.656024179696917,road_cache,True
predictive,27,101.92060007095337,9.03168389854031,3,12.0,68.61901452416663,0,8.698055577410592,35.672210024833674,95.60152286655425,10523.301957325933,89,11.284783791804944,road_cache,True
predictive,28,147.41430074691772,5.393881719996948,5,20.0,65.39970468786606,0,14.824583320617675,51.5950052614212,138.27461410060883,15220.526552119254,173,27.329909775441113,road_cache,True
predictive,29,101.97530127716064,8.02274860181851,3,12.0,69.03378589347263,0,9.29138890478346,35.691355447006224,95.65283259797668,10528.949856866837,99,12.710768632840619,road_cache,True
predictive,30,106.50300024032593,6.671116317182466,6,24.0,71.18839840244408,0,10.598027770784165,37.276050084114075,99.89981422542573,10996.434774813652,123,15.96479437272161,road_cache,True
predictive_reds_only,1,210.81990077972412,5.440251280410293,68,272.0,92.49188919920948,0,17.653805563847225,73.78696527290344,197.74906693138124,21767.154755506515,179,38.75186823426004,road_cache,True
predictive_reds_only,2,122.60460149383545,8.794715859709685,2,8.0,71.10078662125603,0,9.982083335717519,42.9116105228424,115.00311620121765,12658.92510423851,96,13.940712065015214,road_cache,True
predictive_reds_only,3,100.38750033950805,6.133470689826079,7,28.0,72.7194590080452,0,10.306416687700484,35.13562511882782,94.16347531845855,10365.009410054206,121,16.36716068538915,road_cache,True
predictive_reds_only,4,146.30179997253418,5.703707155535407,11,44.0,66.41061541931079,0,13.85497220661905,51.20562999038696,137.23108837423706,15105.660847164154,155,25.650300056262413,road_cache,True
predictive_reds_only,5,78.28669949340821,6.073248210997481,7,28.0,74.02869319155582,0,7.571777781513002,27.400344822692873,73.4329241248169,8083.101722694398,85,12.890416589864728,road_cache,True
predictive_reds_only,6,93.49290085983276,7.205164874079453,3,12.0,69.60435932565909,0,9.1284722313616,32.72251530094147,87.69634100652314,9653.142013777733,101,12.975816999854233,road_cache,True
predictive_reds_only,7,146.02120134735108,5.797452470177124,1,4.0,62.5563245934299,0,14.343527794943915,51.10742047157287,136.9678868638153,15076.689039113997,164,25.18713212372224,road_cache,True
predictive_reds_only,8,85.17310040283203,6.456479442914966,2,8.0,69.51434887283986,0,8.623750000529819,29.81058514099121,79.89236817785645,8794.122616592407,102,13.191879747452298,road_cache,True
predictive_reds_only,9,100.12190091323852,6.456955347460278,4,16.0,71.21944064954455,0,10.092777776055867,35.04266531963348,93.91434305661772,10337.586269291876,117,15.506054405753261,road_cache,True
predictive_reds_only,10,148.59220111846923,5.862099871777128,5,20.0,61.676940608971925,0,14.43794443209966,52.00727039146423,139.37948464912415,15342.144765481948,165,25.347947726694507,road_cache,True
predictive_reds_only,11,100.71149983215332,6.224429752385374,7,28.0,76.12620358206611,0,9.781499993138842,35.24902494125366,94.4673868425598,10398.462357669829,110,16.1800363790045,road_cache,True
predictive_reds_only,12,72.71659985351563,7.005205761426704,4,16.0,71.7643320247188,0,7.050388889312744,25.45080994873047,68.20817066259767,7507.988934875489,78,10.380366020641473,road_cache,True
predictive_reds_only,13,143.93149976348877,5.664888848826986,4,16.0,64.56265332347108,0,13.682333329386182,50.376024917221066,135.00774677815247,14860.927350580214,153,25.407647635185693,road_cache,True
predictive_reds_only,14,105.91669999313355,7.016386993588794,3,12.0,71.06107458555121,0,10.16016665564643,37.07084499759674,99.34986459355926,10935.899274291038,115,15.09561831323082,road_cache,True
predictive_reds_only,15,85.08560040664673,7.146805246620772,4,16.0,67.4621744806058,0,8.57958334883054,29.779960142326356,79.81029318143464,8785.088241986276,101,11.9054035293431,road_cache,True
predictive_reds_only,16,148.7801000404358,5.306990058688299,5,20.0,65.83806231978906,0,14.650583328008652,52.073035014152524,139.55573383792878,15361.545329174995,169,28.03474255559638,road_cache,True
predictive_reds_only,17,110.02120106124877,7.737799058260458,7,28.0,68.20271914243105,0,10.013277785115772,38.50742037143707,103.19988659545136,11359.689009573936,110,14.218668672171844,road_cache,True
predictive_reds_only,18,98.19629950332641,6.631669304380199,10,40.0,75.62619381485332,0,9.596638925737805,34.36870482616424,92.10812893412017,10138.767923718451,109,14.807176744845831,road_cache,True
predictive_reds_only,19,125.63440058135987,5.092172683803351,5,20.0,64.46657114254383,0,12.131500016450882,43.97204020347595,117.84506774531555,12971.751860025404,137,24.672062080880444,road_cache,True
predictive_reds_only,20,82.02279949951172,7.333817411182832,1,4.0,69.15485167601327,0,8.121583327717252,28.7079798248291,76.93738593054199,8468.854048324583,93,11.184188929279971,road_cache,True
predictive_reds_only,21,100.14370007705689,6.353296666749872,5,20.0,72.16794953664997,0,10.022694455915028,35.05029502696991,93.93479067227938,10339.837032956124,116,15.762478179424756,road_cache,True
predictive_reds_only,22,146.1420002861023,6.214175758100357,8,32.0,62.17345180995691,0,13.904333336220848,51.1497001001358,137.08119626836395,15089.161529540062,156,23.51751961563076,road_cache,True
predictive_reds_only,23,101.04039945220947,6.122341392205796,6,24.0,71.71810925863441,0,10.003138881259494,35.364139808273315,94.77589468617249,10432.421243440627,115,16.503555254341343,road_cache,True
predictive_reds_only,24,106.56110109329224,7.786028285560537,4,16.0,67.91059154148499,0,10.102861129045486,37.29638538265228,99.95431282550813,11002.433687882423,113,13.686194961674303,road_cache,True
predictive_reds_only,25,152.26400079345703,5.580010785067574,8,32.0,67.95363408158777,0,14.239861104355919,53.29240027770996,142.8236327442627,15721.258081924438,159,27.28740259802439,road_cache,True
predictive_reds_only,26,94.11060096359253,7.436032013479155,6,24.0,72.9766736268294,0,8.234444473716948,32.93871033725738,88.2757437038498,9716.919549490927,89,12.656024179696917,road_cache,True
predictive_reds_only,27,101.92060007095337,9.03168389854031,3,12.0,68.61901452416663,0,8.698055577410592,35.672210024833674,95.60152286655425,10523.301957325933,89,11.284783791804944,road_cache,True
predictive_reds_only,28,147.41430074691772,5.393881719996948,5,20.0,65.39970468786606,0,14.824583320617675,51.5950052614212,138.27461410060883,15220.526552119254,173,27.329909775441113,road_cache,True
predictive_reds_only,29,101.97530127716064,8.02274860181851,3,12.0,69.03378589347263,0,9.29138890478346,35.691355447006224,95.65283259797668,10528.949856866837,99,12.710768632840619,road_cache,True
predictive_reds_only,30,106.50300024032593,6.671116317182466,6,24.0,71.18839840244408,0,10.598027770784165,37.276050084114075,99.89981422542573,10996.434774813652,123,15.96479437272161,road_cache,True
